Wavelength,GDD,Wavelength2,R
1000,46.95455456,1070,0.99998
1000.14,46.64967335,,
1000.28,46.34764348,,
1000.42,46.04842913,,
1000.56,45.75198319,,
1000.7,45.45827943,,
1000.84,45.16727892,,
1000.98,44.87893843,,
1001.12,44.59322445,,
1001.26,44.31010754,,
1001.4,44.02954276,,
1001.54,43.75151457,,
1001.68,43.47597501,,
1001.82,43.20290415,,
1001.96,42.93225665,,
1002.1,42.66400257,,
1002.24,42.39812029,,
1002.38,42.13457408,,
1002.52,41.87332243,,
1002.66,41.61435904,,
1002.8,41.35764084,,
1002.94,41.10313595,,
1003.08,40.85083222,,
1003.22,40.60069197,,
1003.36,40.35267318,,
1003.5,40.10677481,,
1003.64,39.86296318,,
1003.78,39.62119605,,
1003.92,39.38147359,,
1004.06,39.14375199,,
1004.2,38.90801571,,
1004.34,38.67422928,,
1004.48,38.44238129,,
1004.62,38.21245036,,
1004.76,37.98438657,,
1004.9,37.75820538,,
1005.04,37.53385814,,
1005.18,37.31133746,,
1005.32,37.09061021,,
1005.46,36.87165604,,
1005.6,36.6544574,,
1005.74,36.43899094,,
1005.88,36.22524187,,
1006.02,36.0131796,,
1006.16,35.80279777,,
1006.3,35.59406712,,
1006.44,35.3869669,,
1006.58,35.18148633,,
1006.72,34.9775988,,
1006.86,34.77529633,,
1007,34.57454646,,
1007.14,34.3753411,,
1007.28,34.17765774,,
1007.42,33.98147525,,
1007.56,33.78679837,,
1007.7,33.59357708,,
1007.84,33.40182322,,
1007.98,33.21150252,,
1008.12,33.02259649,,
1008.26,32.83510965,,
1008.4,32.64901624,,
1008.54,32.46428607,,
1008.68,32.28092359,,
1008.82,32.09890718,,
1008.96,31.91821375,,
1009.1,31.73884331,,
1009.24,31.56076979,,
1009.38,31.38397863,,
1009.52,31.20846539,,
1009.66,31.0342111,,
1009.8,30.86120257,,
1009.94,30.6894091,,
1010.08,30.51885374,,
1010.22,30.34950571,,
1010.36,30.18132987,,
1010.5,30.0143477,,
1010.64,29.84852541,,
1010.78,29.6838539,,
1010.92,29.52032839,,
1011.06,29.35793537,,
1011.2,29.19665833,,
1011.34,29.03648514,,
1011.48,28.87740505,,
1011.62,28.71940733,,
1011.76,28.56247827,,
1011.9,28.40661288,,
1012.04,28.25179595,,
1012.18,28.0980122,,
1012.32,27.94526097,,
1012.46,27.79352546,,
1012.6,27.64279178,,
1012.74,27.49306064,,
1012.88,27.34430636,,
1013.02,27.19653256,,
1013.16,27.04972228,,
1013.3,26.90386734,,
1013.44,26.75896102,,
1013.58,26.61498624,,
1013.72,26.4719333,,
1013.86,26.32981158,,
1014,26.18858627,,
1014.14,26.04826818,,
1014.28,25.90883719,,
1014.42,25.77028193,,
1014.56,25.63259696,,
1014.7,25.4957842,,
1014.84,25.35981744,,
1014.98,25.22470748,,
1015.12,25.09042799,,
1015.26,24.95697792,,
1015.4,24.82435459,,
