Wavelength,GDD,Wavelength2,R
1000,47.454299,1070,0.985
1000.14,47.272892,,
1000.28,47.020609,,
1000.42,46.770097,,
1000.56,46.52134,,
1000.7,46.274321,,
1000.84,46.029023,,
1000.98,45.78543,,
1001.12,45.543525,,
1001.26,45.303293,,
1001.4,45.064718,,
1001.54,44.827783,,
1001.68,44.592474,,
1001.82,44.358776,,
1001.96,44.126672,,
1002.1,43.896148,,
1002.24,43.66719,,
1002.38,43.439782,,
1002.52,43.21391,,
1002.66,42.98956,,
1002.8,42.766718,,
1002.94,42.545369,,
1003.08,42.3255,,
1003.22,42.107098,,
1003.36,41.890148,,
1003.5,41.674637,,
1003.64,41.460552,,
1003.78,41.24788,,
1003.92,41.036608,,
1004.06,40.826724,,
1004.2,40.618213,,
1004.34,40.411065,,
1004.48,40.205267,,
1004.62,40.000806,,
1004.76,39.79767,,
1004.9,39.595847,,
1005.04,39.395326,,
1005.18,39.196095,,
1005.32,38.998141,,
1005.46,38.801455,,
1005.6,38.606023,,
1005.74,38.411836,,
1005.88,38.218882,,
1006.02,38.02715,,
1006.16,37.836628,,
1006.3,37.647307,,
1006.44,37.459176,,
1006.58,37.272224,,
1006.72,37.086441,,
1006.86,36.901817,,
1007,36.71834,,
1007.14,36.536002,,
1007.28,36.354792,,
1007.42,36.174701,,
1007.56,35.995718,,
1007.7,35.817834,,
1007.84,35.641039,,
1007.98,35.465324,,
1008.12,35.29068,,
1008.26,35.117097,,
1008.4,34.944566,,
1008.54,34.773078,,
1008.68,34.602624,,
1008.82,34.433195,,
1008.96,34.264782,,
1009.1,34.097377,,
1009.24,33.930972,,
1009.38,33.765556,,
1009.52,33.601122,,
1009.66,33.437663,,
1009.8,33.275168,,
1009.94,33.113631,,
1010.08,32.953042,,
1010.22,32.793395,,
1010.36,32.634681,,
1010.5,32.476892,,
1010.64,32.32002,,
1010.78,32.164059,,
1010.92,32.008999,,
1011.06,31.854834,,
1011.2,31.701556,,
1011.34,31.549157,,
1011.48,31.397631,,
1011.62,31.24697,,
1011.76,31.097167,,
1011.9,30.948215,,
1012.04,30.800106,,
1012.18,30.652834,,
1012.32,30.506392,,
1012.46,30.360773,,
1012.6,30.21597,,
1012.74,30.071977,,
1012.88,29.928787,,
1013.02,29.786393,,
1013.16,29.644789,,
1013.3,29.503968,,
1013.44,29.363924,,
1013.58,29.224651,,
1013.72,29.086142,,
1013.86,28.948392,,
1014,28.811393,,
1014.14,28.675141,,
1014.28,28.539628,,
1014.42,28.404849,,
1014.56,28.270799,,
1014.7,28.137471,,
1014.84,28.004859,,
1014.98,27.872957,,
1015.12,27.741761,,
1015.26,27.611264,,
1015.4,27.481461,,
1015.54,27.352346,,
1015.68,27.223913,,
1015.82,27.096159,,
1015.96,26.969075,,
1016.1,26.842659,,
1016.24,26.716904,,
1016.38,26.591805,,
1016.52,26.467357,,
1016.66,26.343555,,
1016.8,26.220393,,
1016.94,26.097868,,
1017.08,25.975973,,
1017.22,25.854703,,
1017.36,25.734055,,
1017.5,25.614022,,
1017.64,25.494601,,
1017.78,25.375786,,
1017.92,25.257573,,
1018.06,25.139956,,
1018.2,25.022933,,
1018.34,24.906497,,
1018.48,24.790644,,
1018.62,24.67537,,
1018.76,24.56067,,
1018.9,24.44654,,
1019.04,24.332975,,
1019.18,24.219972,,
1019.32,24.107525,,
1019.46,23.995631,,
1019.6,23.884285,,
1019.74,23.773483,,
1019.88,23.663221,,
1020.02,23.553494,,
1020.16,23.4443,,
1020.3,23.335633,,
1020.44,23.227489,,
1020.58,23.119865,,
1020.72,23.012757,,
1020.86,22.90616,,
1021,22.800072,,
1021.14,22.694487,,
1021.28,22.589403,,
1021.42,22.484815,,
1021.56,22.38072,,
1021.7,22.277113,,
1021.84,22.173992,,
1021.98,22.071353,,
1022.12,21.969192,,
1022.26,21.867505,,
1022.4,21.766289,,
1022.54,21.66554,,
1022.68,21.565255,,
1022.82,21.465431,,
1022.96,21.366063,,
1023.1,21.267149,,
1023.24,21.168685,,
1023.38,21.070668,,
1023.52,20.973094,,
1023.66,20.875961,,
1023.8,20.779264,,
1023.94,20.683001,,
1024.08,20.587169,,
1024.22,20.491764,,
1024.36,20.396783,,
1024.5,20.302223,,
1024.64,20.20808,,
1024.78,20.114353,,
1024.92,20.021037,,
1025.06,19.92813,,
1025.2,19.835628,,
1025.34,19.743529,,
1025.48,19.65183,,
1025.62,19.560528,,
1025.76,19.469619,,
1025.9,19.379102,,
1026.04,19.288973,,
1026.18,19.199229,,
1026.32,19.109867,,
1026.46,19.020885,,
1026.6,18.93228,,
1026.74,18.844049,,
1026.88,18.756189,,
1027.02,18.668699,,
1027.16,18.581574,,
1027.3,18.494812,,
1027.44,18.408411,,
1027.58,18.322369,,
1027.72,18.236681,,
1027.86,18.151347,,
1028,18.066363,,
1028.14,17.981727,,
1028.28,17.897435,,
1028.42,17.813487,,
1028.56,17.729879,,
1028.7,17.646609,,
1028.84,17.563674,,
1028.98,17.481072,,
1029.12,17.398801,,
1029.26,17.316857,,
1029.4,17.23524,,
1029.54,17.153946,,
1029.68,17.072972,,
1029.82,16.992318,,
1029.96,16.91198,,
1030.1,16.831957,,
1030.24,16.752245,,
1030.38,16.672843,,
1030.52,16.593748,,
1030.66,16.514959,,
1030.8,16.436472,,
1030.94,16.358286,,
1031.08,16.280399,,
1031.22,16.202809,,
1031.36,16.125513,,
1031.5,16.048509,,
1031.64,15.971795,,
1031.78,15.895369,,
1031.92,15.81923,,
1032.06,15.743374,,
1032.2,15.6678,,
1032.34,15.592506,,
1032.48,15.51749,,
1032.62,15.44275,,
1032.76,15.368284,,
1032.9,15.294089,,
1033.04,15.220165,,
1033.18,15.146509,,
1033.32,15.073118,,
1033.46,14.999992,,
1033.6,14.927128,,
1033.74,14.854525,,
1033.88,14.78218,,
1034.02,14.710092,,
1034.16,14.638258,,
1034.3,14.566678,,
1034.44,14.495349,,
1034.58,14.424269,,
1034.72,14.353436,,
1034.86,14.28285,,
1035,14.212507,,
1035.14,14.142407,,
1035.28,14.072547,,
1035.42,14.002926,,
1035.56,13.933542,,
1035.7,13.864393,,
1035.84,13.795478,,
1035.98,13.726795,,
1036.12,13.658342,,
1036.26,13.590118,,
1036.4,13.522121,,
1036.54,13.454349,,
1036.68,13.386801,,
1036.82,13.319475,,
1036.96,13.252369,,
