Wavelength,GDD,Wavelength2,R
950.414,-3.43271,1040,0.976
951.186,-4.34724,,
952.234,-5.25636,,
953.061,-5.79795,,
953.944,-6.71031,,
955.047,-7.61836,,
956.259,-8.33831,,
957.527,-9.05718,,
958.574,-9.78037,,
959.787,-10.6863,,
960.999,-11.2203,,
962.708,-12.1164,,
964.416,-13.0126,,
965.629,-13.7325,,
967.172,-14.2601,,
968.768,-14.2287,,
970.147,-15.1314,,
971.799,-15.4708,,
973.286,-15.4416,,
974.553,-15.7887,,
975.875,-16.5064,,
977.582,-16.287,,
978.959,-16.6319,,
980.612,-16.9713,,
981.932,-16.2016,,
982.869,-16.5551,,
983.915,-16.9065,,
985.126,-16.6968,,
986.613,-16.4816,,
987.549,-16.6492,,
988.76,-16.2536,,
989.861,-16.4179,,
991.182,-16.0201,,
992.393,-15.9963,,
993.77,-15.7834,,
995.09,-15.3856,,
996.302,-15.3618,,
997.292,-14.9705,,
998.503,-14.5748,,
999.494,-14.5554,,
1000.76,-14.3446,,
1002.08,-13.7609,,
1003.35,-13.9219,,
1004.39,-12.9718,,
1005.66,-12.761,,
1006.98,-12.3632,,
1008.19,-11.9675,,
1009.29,-11.5741,,
1010.17,-11.3708,,
1011.38,-10.9752,,
1012.48,-10.3958,,
1013.97,-9.99474,,
1015.45,-9.40777,,
1016.55,-8.64243,,
1017.93,-8.42948,,
1019.2,-8.2187,,
1020.35,-7.45228,,
1021.45,-7.43066,,
1022.66,-6.47723,,
1023.76,-6.26969,,
1024.81,-5.69136,,
1026.02,-5.29572,,
1027.06,-4.71739,,
1028.11,-4.325,,
1029.32,-4.11529,,
1030.31,-3.53804,,
1031.69,-3.13917,,
1032.84,-2.55868,,
1033.89,-2.53814,,
1034.77,-1.77713,,
1035.87,-1.38365,,
1037.13,-0.801001,,
1038.4,-0.404283,,
1039.72,0.179448,,
1041.54,0.586972,,
1043.19,1.17719,,
1044.67,1.3923,,
1045.77,2.15764,,
1047.04,2.55435,,
1048.58,2.58461,,
1049.74,3.35103,,
1051.33,3.38237,,
1052.54,3.96394,,
1053.92,4.36282,,
1055.18,4.57361,,
1056.73,5.16166,,
1058.21,5.37677,,
1059.59,5.77565,,
1061.18,5.99292,,
1062.67,6.57989,,
1063.88,6.2318,,
1065.26,6.63068,,
1066.58,6.65662,,
1068.07,6.49987,,
1068.95,6.88902,,
1070.21,6.72794,,
1071.59,6.56903,,
1072.52,7.33113,,
1073.74,6.61118,,
1074.84,7.00465,,
1075.94,6.6544,,
1077.37,6.6825,,
1078.97,6.52791,,
1080.07,6.36359,,
1081.39,6.20359,,
1082.44,5.85226,,
1083.59,5.68903,,
1084.81,5.52687,,
1085.74,4.98745,,
1087.01,4.82637,,
1088.11,4.29019,,
1089.49,4.13127,,
1090.65,3.7821,,
1091.97,3.25025,,
1093.4,2.72055,,
1094.45,2.36922,,
1095.44,1.83088,,
1096.49,1.47955,,
1097.2,0.749869,,
1098.42,0.40178,,
1099.68,0.240704,,
1100.4,-0.488973,,
1101.23,-1.03056,,
1102.49,-1.74943,,
1103.38,-2.28993,,
1104.59,-3.38175,,
1105.69,-4.10386,,
1106.57,-5.01623,,
1107.84,-6.10696,,
1109.17,-7.01068,,
1110.16,-8.10682,,
1110.99,-8.83433,,
1112.15,-10.2991,,
1113.25,-11.0212,,
1114.24,-12.1173,,
1115.34,-13.2113,,
1116.39,-14.6782,,
1117.38,-15.4025,,
1118.49,-16.8683,,
1119.37,-17.9666,,
1120.09,-18.8823,,
1120.86,-20.1686,,
1121.8,-21.4518,,
1122.74,-22.7349,,
1123.46,-23.6506,,
1124.34,-25.4926,,
1125.44,-27.1444,,
1126.05,-28.0621,,
1126.88,-29.3474,,
1127.71,-30.8187,,
1128.32,-32.2942,,
1128.98,-33.5828,,
