Wavelength,GDD,Wavelength2,R
1000.15,-15.666807,1040,0.976
1000.32,-15.623267,,
1000.49,-15.579387,,
1000.66,-15.535169,,
1000.83,-15.490616,,
1001,-15.445728,,
1001.17,-15.40051,,
1001.34,-15.354961,,
1001.51,-15.309085,,
1001.68,-15.262883,,
1001.85,-15.216358,,
1002.02,-15.169512,,
1002.19,-15.122347,,
1002.36,-15.074864,,
1002.53,-15.027066,,
1002.7,-14.978955,,
1002.87,-14.930534,,
1003.04,-14.881803,,
1003.21,-14.832766,,
1003.38,-14.783424,,
1003.55,-14.73378,,
1003.72,-14.683835,,
1003.89,-14.633592,,
1004.06,-14.583053,,
1004.23,-14.532219,,
1004.4,-14.481094,,
1004.57,-14.429678,,
1004.74,-14.377975,,
1004.91,-14.325987,,
1005.08,-14.273714,,
1005.25,-14.221161,,
1005.42,-14.168328,,
1005.59,-14.115218,,
1005.76,-14.061833,,
1005.93,-14.008175,,
1006.1,-13.954247,,
1006.27,-13.90005,,
1006.44,-13.845586,,
1006.61,-13.790859,,
1006.78,-13.735869,,
1006.95,-13.680619,,
1007.12,-13.625111,,
1007.29,-13.569348,,
1007.46,-13.513331,,
1007.63,-13.457062,,
1007.8,-13.400545,,
1007.97,-13.34378,,
1008.14,-13.286771,,
1008.31,-13.229518,,
1008.48,-13.172025,,
1008.65,-13.114294,,
1008.82,-13.056327,,
1008.99,-12.998125,,
1009.16,-12.939692,,
1009.33,-12.881029,,
1009.5,-12.822138,,
1009.67,-12.763022,,
1009.84,-12.703682,,
1010.01,-12.644122,,
1010.18,-12.584343,,
1010.35,-12.524347,,
1010.52,-12.464137,,
1010.69,-12.403714,,
1010.86,-12.343081,,
1011.03,-12.28224,,
1011.2,-12.221193,,
1011.37,-12.159935,,
1011.54,-12.098491,,
1011.71,-12.036843,,
1011.88,-11.974994,,
1012.05,-11.912952,,
1012.22,-11.850717,,
1012.39,-11.788291,,
1012.56,-11.725678,,
1012.73,-11.662877,,
1012.9,-11.599894,,
1013.07,-11.536729,,
1013.24,-11.473384,,
1013.41,-11.409861,,
1013.58,-11.346164,,
1013.75,-11.282294,,
1013.92,-11.218254,,
1014.09,-11.154044,,
1014.26,-11.089669,,
1014.43,-11.025129,,
1014.6,-10.960428,,
1014.77,-10.895566,,
1014.94,-10.830548,,
1015.11,-10.765374,,
1015.28,-10.700047,,
1015.45,-10.634569,,
1015.62,-10.568942,,
1015.79,-10.503169,,
1015.96,-10.437252,,
1016.13,-10.371192,,
1016.3,-10.304993,,
1016.47,-10.238656,,
1016.64,-10.172183,,
1016.81,-10.105578,,
1016.98,-10.038841,,
1017.15,-9.971975,,
1017.32,-9.904983,,
1017.49,-9.837866,,
1017.66,-9.770627,,
1017.83,-9.703268,,
1018,-9.635791,,
1018.17,-9.568199,,
1018.34,-9.500493,,
1018.51,-9.432676,,
1018.68,-9.36475,,
1018.85,-9.296717,,
1019.02,-9.22858,,
1019.19,-9.16034,,
1019.36,-9.092001,,
1019.53,-9.023563,,
1019.7,-8.955029,,
1019.87,-8.886402,,
1020.04,-8.817683,,
1020.21,-8.748876,,
1020.38,-8.679982,,
1020.55,-8.611003,,
1020.72,-8.541941,,
1020.89,-8.472799,,
